Feature,Importance
#followers,0.22797888384971055
#posts,0.1594612097412921
profile pic,0.11397995856292309
profile_completeness,0.10719271344834104
nums/length username,0.10057800939185815
follower_following_ratio,0.09724697416367449
post_per_follower,0.07798671977894288
description length,0.05232164357974925
#follows,0.03418664586593084
fullname words,0.016725225764061935
private,0.004986962767850398
nums/length fullname,0.004095156310724029
external URL,0.0020841839785981663
name==username,0.0011757127963429226
